Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
295.0,Drew Eubanks,27.0,2TM,C,47.0,4.0,661.0,15.4,0.614,0.035,0.368,8.5,23.1,15.9,10.6,0.8,5.0,14.6,14.8,0.9,0.6,1.4,0.104,-1.1,0.4,-0.7,0.2,
295.0,Drew Eubanks,27.0,UTA,C,37.0,4.0,568.0,16.0,0.632,0.034,0.393,7.7,24.2,16.1,11.6,0.8,5.3,15.4,14.8,0.8,0.5,1.3,0.106,-0.7,0.8,0.1,0.3,
295.0,Drew Eubanks,27.0,LAC,C,10.0,0.0,93.0,12.0,0.506,0.038,0.231,13.3,16.8,15.1,4.5,0.5,3.2,9.5,14.8,0.1,0.1,0.2,0.093,-3.3,-2.0,-5.4,-0.1,
296.0,Herbert Jones,26.0,NOP,SF,20.0,20.0,648.0,10.4,0.541,0.419,0.233,3.5,9.6,6.4,13.7,2.8,1.3,15.6,14.6,0.2,0.3,0.5,0.034,-3.8,0.2,-3.7,-0.3,
297.0,Kawhi Leonard,33.0,LAC,SF,22.0,22.0,647.0,16.2,0.537,0.323,0.18,3.7,15.4,9.5,15.9,2.0,1.6,11.2,28.0,-0.1,0.9,0.8,0.062,-0.3,-0.6,-0.9,0.2,
298.0,Aaron Nesmith,25.0,IND,SF,27.0,19.0,643.0,13.1,0.635,0.512,0.222,3.2,13.8,8.6,7.7,1.3,1.5,9.4,16.6,0.9,0.5,1.4,0.103,-1.0,-0.9,-1.9,0.0,
299.0,Alec Burks,33.0,MIA,SG,36.0,4.0,637.0,12.1,0.587,0.729,0.232,2.3,14.3,8.3,9.2,1.7,0.9,7.6,14.7,0.6,0.7,1.3,0.099,-0.7,0.7,0.0,0.3,
300.0,Maxi Kleber,33.0,DAL,PF,34.0,4.0,637.0,5.7,0.489,0.51,0.219,4.3,11.7,8.1,8.3,0.7,2.3,17.9,8.6,0.0,0.4,0.4,0.027,-4.2,0.4,-3.8,-0.3,
301.0,Marcus Sasser,24.0,DET,PG,47.0,0.0,636.0,13.4,0.584,0.527,0.14,2.5,6.7,4.6,23.0,2.2,0.6,14.8,18.3,0.8,0.6,1.4,0.106,-0.8,0.2,-0.6,0.2,
302.0,Kyle Lowry,38.0,PHI,PG,33.0,12.0,623.0,10.1,0.53,0.748,0.297,1.9,10.4,6.0,19.8,2.5,1.6,13.7,10.2,0.6,0.4,1.0,0.08,-2.6,1.5,-1.1,0.1,
303.0,Daniel Theis,32.0,NOP,C,38.0,9.0,621.0,12.2,0.558,0.287,0.287,7.3,21.5,14.2,12.9,1.4,3.0,14.7,11.5,0.6,0.4,1.0,0.079,-3.2,-0.1,-3.3,-0.2,
304.0,Kelly Olynyk,33.0,2TM,C,33.0,11.0,611.0,14.9,0.603,0.337,0.38,7.5,20.2,13.7,20.2,1.7,2.0,18.9,18.6,0.7,0.5,1.2,0.095,-1.0,0.4,-0.5,0.2,
304.0,Kelly Olynyk,33.0,TOR,C,24.0,2.0,383.0,15.1,0.624,0.364,0.364,7.0,18.6,12.7,20.8,2.0,2.0,20.4,18.9,0.4,0.4,0.8,0.106,-0.7,0.7,0.0,0.2,
304.0,Kelly Olynyk,33.0,NOP,C,9.0,9.0,228.0,14.6,0.566,0.29,0.406,8.2,22.9,15.3,19.3,1.1,2.1,16.4,17.9,0.2,0.1,0.4,0.078,-1.5,0.0,-1.5,0.0,
